locality;property_type;property_subtype;price;sale_type;bedroom_count;bathroom_count;net_Habital_surface;kitchen;furnished;open_fire;terrace;terrace_surface;garden;garden_surface;land_surface;land_plot_surface;facade_count;pool;building_state
Zoersel;HOUSE;CASTLE;4950000;FOR_SALE;5;3;1079;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;14840;0;;0;
Zoersel;HOUSE;CASTLE;4950000;FOR_SALE;5;3;1079;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;148400;0;4;;
Forest;HOUSE;EXCEPTIONAL_PROPERTY;4950000;FOR_SALE;7;6;1500;;;0;1;;;;4895;0;;1;
Tervuren;HOUSE;EXCEPTIONAL_PROPERTY;4950000;FOR_SALE;6;5;750;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;100;1;20000;20000;750;4;1;GOOD
Etterbeek;HOUSE;MIXED_USE_BUILDING;4900000;FOR_SALE;12;10;1400;;1;0;1;50;;;280;0;2;;GOOD
Knokke-Heist;APARTMENT;PENTHOUSE;4850000;FOR_SALE;3;3;165;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};1;0;1;90;;;;165;2;0;AS_NEW
Kapellen;HOUSE;HOUSE;4850000;FOR_SALE;9;10;1600;{'surface': 42, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;6335;0;4;1;AS_NEW
Aartselaar;HOUSE;EXCEPTIONAL_PROPERTY;4850000;FOR_SALE;10;7;2000;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;;;;;13490;0;4;1;AS_NEW
Kapellen;HOUSE;VILLA;4850000;FOR_SALE;10;10;1200;;;0;1;;;;6400;0;4;;AS_NEW
Knokke-Heist;APARTMENT;APARTMENT;4800000;FOR_SALE;2;2;148;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;9;;;;0;2;1;AS_NEW
Waterloo;HOUSE;VILLA;4800000;FOR_SALE;6;;1100;;;0;1;;;;10093;0;4;;AS_NEW
Gent;HOUSE;APARTMENT_BLOCK;4650000;FOR_SALE;0;;854;;;0;;;;;291;222;;0;AS_NEW
Knokke-Heist Knokke;APARTMENT;APARTMENT;4600000;FOR_SALE;3;2;163;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};1;0;1;17;;;;0;2;0;AS_NEW
Knokke-Heist;APARTMENT;APARTMENT;4600000;FOR_SALE;3;2;163;;1;0;1;9;;;;0;2;0;AS_NEW
Knokke-Heist;APARTMENT;APARTMENT;4600000;FOR_SALE;3;2;163;;0;0;1;17;1;;;0;;0;
het Zoute;APARTMENT;APARTMENT;4600000;FOR_SALE;3;2;163;;0;0;;;;;;170;2;0;AS_NEW
Saint-Gilles;HOUSE;MIXED_USE_BUILDING;4600000;FOR_SALE;0;;;;;0;;;;;820;0;;;
Ixelles;HOUSE;HOUSE;4500000;FOR_SALE;4;1;627;{'surface': 35, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;;;0;0;;0;AS_NEW
Knokke-Heist;APARTMENT;DUPLEX;4500000;FOR_SALE;3;3;192;{'surface': 7, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};1;0;1;44;;;;0;2;0;AS_NEW
Knokke-Heist;APARTMENT;PENTHOUSE;4500000;FOR_SALE;3;3;192;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;;0;3;0;AS_NEW
Molenbeek-Saint-Jean;HOUSE;APARTMENT_BLOCK;4500000;FOR_SALE;0;;;{'surface': None, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;0;0;2;0;AS_NEW
Knokke-Heist;HOUSE;VILLA;4350000;FOR_SALE;5;2;464;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;;1;;42000;277;4;0;AS_NEW
Knokke-Heist;HOUSE;HOUSE;4350000;FOR_SALE;5;2;464;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;42000;0;4;0;GOOD
Ixelles;APARTMENT;APARTMENT;4350000;FOR_SALE;3;3;362;{'surface': 50, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;235;1;80;;0;3;;JUST_RENOVATED
Knokke-Heist;HOUSE;HOUSE;4350000;FOR_SALE;5;2;464;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;42000;42000;0;4;0;GOOD
WOLUWE-SAINT-PIERRE;HOUSE;VILLA;4300000;FOR_SALE;6;3;950;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;11600;0;4;1;AS_NEW
Woluwe-Saint-Pierre;HOUSE;HOUSE;4300000;FOR_SALE;8;5;950;{'surface': 40, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;150;1;500;11600;1400;4;1;TO_RENOVATE
Knokke-Zoute;APARTMENT;APARTMENT;4300000;FOR_SALE;4;3;231;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;;0;3;0;
Knokke-Heist;APARTMENT_GROUP;APARTMENT_GROUP;;FOR_SALE;;;;;;0;;;;;;0;;;
Knokke-Zoute;APARTMENT_GROUP;APARTMENT_GROUP;;FOR_SALE;;;;;;0;;;;;;0;;;
Knokke;APARTMENT_GROUP;APARTMENT_GROUP;;FOR_SALE;;;;;0;0;;;;;;0;;;
Knokke-Heist;APARTMENT;DUPLEX;4300000;FOR_SALE;4;3;252;;;0;1;;;;;0;3;;AS_NEW
Knokke-Heist;APARTMENT;DUPLEX;4300000;FOR_SALE;4;3;252;;;0;1;;;;;0;3;;AS_NEW
Knokke-Heist;APARTMENT;DUPLEX;4300000;FOR_SALE;4;3;231;;;0;1;41;;;;0;;;AS_NEW
Gent;HOUSE;MIXED_USE_BUILDING;4300000;FOR_SALE;16;;2417;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;1;239;965;0;2;;TO_RESTORE
Knokke-Heist;APARTMENT;PENTHOUSE;4300000;FOR_SALE;4;3;232;;;0;1;;;;;0;3;;AS_NEW
Knokke-Heist;APARTMENT;APARTMENT;4295000;FOR_SALE;3;2;160;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;17;;;;0;2;0;AS_NEW
